Statements,Labels
Tunisia stayed top of their group despite a goalless draw away against Namibia.,Non Record
India are without their senior players which opens up opportunities for younger players.,Non Record
The article mentioned the importance of not letting Riley Greene and Kerry Carpenter beat the Guardians.,Non Record
Shaheen Shah Afridi took 4 wickets for 22 runs.,Non Record
Zimbabwe spinner Wellington Masakadza mentioned that the team will exploit the home conditions to the maximum to win the five-match series.,Non Record
"Mark Wood took three for 34, while Liam Livingstone also claimed his first three-wicket haul in an England shirt.",Non Record
"Weather conditions at Citi Field are expected to be cloudy, with a temperature of 82°F, making for a comfortable evening for baseball.",Non Record
Najibullah Zadran hit a six off Shadab Khan but was later dismissed trying to repeat the shot.,Non Record
"Geraldo Perdomo followed with an RBI single in the eighth inning, making it 3-1.",Non Record
Kerry Carpenter has recorded at least one Single in each of his last six appearances against AL Central opponents that held a losing record.,Record
Player of the match Shaheen Shah Afridi: 'It's not easy to come back after injury and bowl I am just trying to bowl my best. We all as a team are really happy and we played really good cricket. Today we were just in the right areas and bowled fast. I think the team needed to bowl well and we are looking forward to the semi finals and finals.',Non Record
Rovman Powell won the toss and West Indies opted to bowl first.,Non Record
The Dodgers achieved their first postseason game lead since Game 4 of the NLDS against the Padres.,Record
Austin Wells and Gleyber Torres hit late-inning home runs for the Yankees.,Non Record
"Bailey Ober of the Minnesota Twins had one of the best outings of his season, sending down 15 straight batters and pitching seven shutout innings.",Non Record
New York is the run-line favorite (-1.5).,Non Record
Orion Kerkering struck out two in 1 1/3 scoreless innings of relief for the win.,Non Record
West Indies avoided adding to a list of upsets in a format they once dominated.,Non Record
Rohit Sharma became the first man to five T20I hundreds.,Record
The total set at 8 runs suggests anticipation of a high-scoring game.,Non Record
Masataka Yoshida has recorded at least one total base in each of his last 10 appearances with the Red Sox as underdogs.,Record
Matt Chapman has hit a home run in three of the Giants' last four games against NL Central opponents.,Non Record
The third match of the day between Hong Kong and Kuwait did not produce a result.,Non Record
England reached 100 runs in 10.1 overs.,Non Record
"Adil Rashid deflected Balbirnie’s drive on to the non-striker’s stumps, meaning Lorcan Tucker was out for 34.",Non Record
"Yordan Alvarez has 31 doubles, two triples and 32 home runs for the Astros.",Non Record
Quinton de Kock hammered 63 runs off 38 balls.,Non Record
Jack Kochanowicz pitched seven strong innings in a walk-off 4-3 win in 13 innings over the White Sox.,Non Record
A yellow red card has been given to Tanzania.,Non Record
Kerry Carpenter has recorded a Single in eight of his last nine appearances against AL opponents that held a losing record.,Record
Ronald Koeman criticized his team's lack of control and aggression.,Non Record
David Wiese and Ruben Trumpelmann are key performers for Namibia.,Non Record
Dodgers pitchers put up consecutive shutouts in the postseason for just the third time in franchise history.,Record
Stanton moved into a tie with Judge and Babe Ruth for fourth in club history for postseason homers.,Record
England became the first men's team to hold the T20 and ODI World Cups simultaneously.,Record
"In T20 World Cups, India have a 3-0 record against Afghanistan.",Non Record
"Colin Ackermann: 'Feels fantastic, we really deserved this victory! Boys worked really hard. Come in, and take it deep, and the boundaries flowed at the end. Surface was slow, and was taking a bit of turn.'",Non Record
Tottenham Hotspur's Yves Bissouma is ruled out due to injury.,Non Record
"The White Sox snapped a historic streak by winning a game started by Chris Flexen after losing 20 consecutive games started by him, an MLB record.",Record
Shubman Gill's 126 off 63 balls is the highest individual T20I score by an Indian.,Record
"In 7 of the last 8 home matches Lithuania played, both teams scored.",Non Record
"Reds-Cubs lasted 1 hour and 48 minutes, the fastest 9-inning game since Armando Galarraga’s near-perfect game on 6/2/10 (1 hour, 44 minutes)",Record
"Max Meyer recorded 18 swings and misses, second-most for him this season.",Record
"India are set to take on New Zealand on Friday, 27 January 2023, at JSCA International Stadium Complex, Ranchi.",Non Record
"Pakistan fan Syed Raheel Mustafa was planning to travel by road from Sydney to Melbourne, with an overnight stop in Albury, as part of a convoy of three families in five vehicles. But now they are rethinking the whole trip due to the rain prediction.",Non Record
Jazz Chisholm is the newest Yankee and has done well over the past few weeks.,Non Record
Quinton de Kock and Temba Bavuma were out inside six overs with the score on 39.,Non Record
"Finn Allen hit 16 sixes in the third T20I against Pakistan, equaling a World Record.",Record
The two clubs will meet again on Monday for a three-game set at Kauffman Stadium.,Non Record
India's last Group 'A' match against Canada was abandoned without a ball being bowled due to a wet outfield.,Non Record
The Yankees swept a doubleheader at Fenway Park for the first time since 2006.,Record
"Anrich Nortje was two wickets away from 50 in T20Is, and Tabraiz Shamsi was one away from 300 in all T20s.",Record
Adil Rashid bowled a maiden over and took the wicket of Babar Azam.,Non Record
Tigers manager A.J. Hinch expressed belief in the team's momentum and accomplishments.,Non Record
The Dodgers' victory will lead to a parade down Figueroa Street.,Non Record
Andy Pages hit two home runs for the Dodgers,Non Record
"Pat Murphy discussed the Brewers' 14-0 win against the Reds in Game 2 on August 30, 2024.",Non Record
Virat Kohli becomes the leading run scorer in the history of T20 World Cup.,Record
Hardik Pandya and Arshdeep Singh are fourth and fifth on the list of most T20I wickets for India,Record
New Zealand have the second-lowest batting average (12.60) among Full Member nations at this T20 World Cup behind Ireland.,Record
"For only the second time in franchise history, the Arizona Diamondbacks drew more than 50,000 fans for a regular season game Saturday against the Los Angeles Dodgers.",Non Record
Pakistan eased to their victory target of 179 with 18 balls remaining.,Non Record
Tendai Chatara will be bringing his experience to the Zimbabwe team after being on the sidelines for some time.,Non Record
Adolis Garcia became the first player in postseason history with a Golden Sombrero (four strikeouts) and a grand slam.,Record
Virat Kohli scored 57 runs to help India reach 151 for 7.,Non Record
Jordan Montgomery made his debut out of the bullpen and initially struggled but then pitched effectively for 4.1 innings.,Non Record
Uganda's batters struggled to pull off boundaries while Farooqi continued to be economical and rattle wickets.,Non Record
Hardik Pandya scored an unbeaten 39.,Non Record
Rilee Rossouw equaled David Miller's record of two centuries in T20 internationals for South Africa.,Record
Jones swung Chris Jordan for an 87-metre six which smashed a solar panel on the roof of the stand beyond deep midwicket.,Non Record
"When it comes to their fast-bowling department displays, it has Kagiso Rabada, Anrich Nortje, Gerald Coetzee, Marco Jansen and Ottniel Baartman.",Non Record
"Rain interrupted play during the ICC Men's T20 CWC group B match between England and Scotland at Kensington Oval, Bridgetown, Barbados, on June 4, 2024.",Non Record
Bo Bichette has recorded at least one total base in each of his last 11 road appearances against the Twins.,Record
Vinnie Pasquantino has recorded at least one hit in each of his last 13 road appearances against opponents that held a losing record.,Record
Bowden Francis is coming off a near-no-hitter last Saturday against the Los Angeles Angels. His bid for the second no-hitter in franchise history was spoiled when Taylor Ward led off the ninth inning with a home run.,Record
Leon Bailey is on the Copa America roster and is a key player for Jamaica.,Non Record
Memphis Depay is now just four goals off the all-time scoring record for the Netherlands with 46 goals.,Record
The Yankees broke out in Game 4 to force a Game 5.,Non Record
Justyn-Henry Malloy drove in the go-ahead run with a sacrifice fly.,Non Record
The Rangers went undefeated in 11 road games during the playoffs.,Non Record
David Hussey describes the Gabba as probably the best batting pitch in Australia for white-ball cricket,Non Record
"Edwin Díaz expressed disappointment, saying 'It’s a tough loss. We had it.'",Non Record
Pakistan has the second-finest Powerplay economy rate (6.19) and an average of (18.58).,Record
Nolan Arenado has recorded at least one Single in 10 of his last 11 appearances against AL opponents.,Record
The Phillies have covered the run line in 11 of their last 12 Saturday night home games against National League opponents.,Non Record
Saqib Mahmood removed Travis Head with the last ball of the powerplay.,Non Record
"Austin Wells discussed his mindset after struggling in the postseason, saying he approached the game with a 'screw it' mentality.",Non Record
Bo Bichette has recorded at least one hit in each of his last 11 road appearances against the Twins.,Record
Michael Harris II described his catch as 'pretty cool'.,Non Record
Tigers manager A.J. Hinch's decision to use an opener backfired.,Non Record
Elly De La Cruz set a new record for most strikeouts in a season for the Cincinnati Reds with 206 strikeouts.,Record
The White Sox need to go 10-8 in their final 18 games to avoid tying the 1962 New York Mets (40-120) for the most losses in Major League Baseball’s modern era.,Record
Canada recorded their first-ever T20 World Cup win.,Record
"Virat Kohli scored an unbeaten 122 off 61 balls, marking his highest T20I score.",Record
"Tyler O'Neill hit his 27th home run this season and his 11th career multihomer game, his sixth this year.",Record
"Bart Verbruggen has established himself as the Netherlands' number one goalkeeper, starting nine of the last ten matches and keeping six clean sheets.",Non Record
Brent Rooker leads Oakland with 35 home runs while slugging .583.,Non Record
Aaron Civale pitched seven scoreless innings for the Brewers.,Non Record
The Red Sox have failed to cover the run line in seven of their last eight games at Fenway Park against teams that held a winning record.,Record
The match was played on the same pitch where Rovman Powell had run riot earlier in the series.,Non Record
USA captain Monank Patel praised the team's overall effort and highlighted the importance of fearless cricket.,Non Record
"USA T20I Team includes Monank Patel (Captain), Andries Gous, Abhishek Paradkar, Aaron Jones, Harmeet Singh, Juanoy Drysdale, Muhammad Ali Khan, Milind Kumar, Nosthusha Kenjige, Jasdeep Singh, Saurabh Netravalkar, Saiteja Mukkamalla, Shayan Jahangir, Utkarsh Srivastava, Yasir Mohammad.",Non Record
"England's openers Jos Buttler and Alex Hales added 170 together, the highest partnership in T20 World Cups.",Record
"The match will be broadcast live on CricLife Max channel on Etisalat’s eLife TV, Switch TV, and STARZPLAY app.",Non Record
Manager Alex Cora praised Bello's control and pitch selection during the game.,Non Record
Teams: Los Angeles Angels vs Detroit Tigers Date: Sunday 17 September 2023 Time: 11:07am AEST Venue: Angel Stadium,Non Record
The Texas Rangers won their first championship.,Record
David Fry hit a home run in Game 4.,Non Record
Shaheen Afridi claimed two early wickets with figures of 3-14.,Non Record
"Jake Rogers hit a solo homer in the second inning and a three-run homer in the third inning, giving Detroit a 5-0 lead.",Non Record
India posted the highest-ever innings score in a T20 World Cup final with 176 runs for the loss of eight wickets.,Record
"Jones hit a six off the penultimate ball to tie the game, and Nitish Kumar hit a four off the last ball to force the Super Over.",Non Record
Shohei Ohtani became the only player in Dodgers history to record 10 RBIs in a single game.,Record
Sybrand Engelbrecht added a helpful 14 from 16 to bring the target within reach.,Non Record
"Mali are set to be without their captain Hamari Traore, who is serving a four-match suspension.",Non Record
Yankees Manager Aaron Boone explained his decision to walk Mookie Betts to face Freddie Freeman in the 10th inning.,Non Record
"Richie Berrington said after the toss, 'It does look on the drier side, but as we have seen on this trip so far, the wickets can change ground to ground, day to day.'",Non Record
"Bas de Leede was named Player of the Match for his all-round performance, scoring 30* (30), taking 2/18, and making 2 catches.",Non Record
Suryakumar Yadav scored an unbeaten 50.,Non Record
"The match was played in front of 90,000 fans at the Melbourne Cricket Ground.",Non Record
"Tyrone Taylor made a sliding catch in the right-center-field gap, preventing a two-run extra-base hit.",Non Record
Andrew Benintendi tied his career high with his 20th homer.,Record
"The Astros improved to 7-0 in games started by Yusei Kikuchi, who was acquired from the Blue Jays at the Trade Deadline.",Non Record
Afif Hossain scores 1000 runs in T20 cricket,Record
India's fielding was noted as poor during the match.,Non Record
"Twins president of baseball operations Derek Falvey and manager Rocco Baldelli will be back, but questions remain on the roster and elsewhere on the coaching staff and in the front office.",Non Record
Jos Buttler’s side narrowly lost to South Africa in their second Super Eight game after beating hosts West Indies comfortably in the first one.,Non Record
The 'Inning 1 UNDER 0.5 runs' market has hit in each of the Reds' last seven road games.,Non Record
"The Padres finished the regular season with 93 wins, the second-most in franchise history.",Record
Gunnar Henderson homered and drove in three runs.,Non Record
The Board of Control for Cricket in India (BCCI) posted a video on their social media handle which showcases the Indian team slowly getting into the groove and sweating it out in the training nets before they start their Super 8 round.,Non Record
Dasun Shanaka stated that Sri Lanka would have batted first as well and aimed to set the tone upfront.,Non Record
Ireland's second-biggest T20I partnership with a 137-run stand for the first wicket,Record
Chris Young reflected on the importance of recruiting the right people.,Non Record
Australia set the highest-ever T20 international first powerplay score of 113/1 for the opening six overs.,Record
Blue-and-gold streamers fell into the American Family Field stands as the team gathered in shallow center field to celebrate,Non Record
The Magic Number to clinch a playoff berth stands at only eight.,Non Record
Haris Rauf is the highest wicket-taker for Pakistan in this fixture with 14 wickets.,Record
South Africa were the last team to beat India in a dead rubber in their three-match series earlier this month.,Record
"Bo Naylor said, 'The competitive nature Clase attacks the game with and the mentality he goes out with, it’s huge having him in the back end of a game. The vibes today were electric, back to what we’ve known throughout this year. That was definitely a great step in the right direction.'",Non Record
The race is on to find Warner's opening partner with Josh Inglis getting first crack having impressed at the top of the order in the ODI series.,Non Record
"Jurickson Profar homered, doubled, and singled in his first start back with the Padres.",Non Record
India won by 91 runs,Non Record
England are the first men's team in history to hold both the 50-over and 20-over World Cups simultaneously.,Record
Zimbabwe was awarded five penalty runs as the relay from fine leg hit Quinton de Kock's glove sitting on the ground.,Non Record
The ICC may need to address the pitch conditions before the next game between India and Pakistan.,Non Record
Virat Kohli hit his first international century since November 2019 with a maiden T20 ton for India.,Record
India's second highest margin of victory in T20Is was a 143-run win over Ireland in Dublin in 2018.,Record
"Gerrit Cole reflected on his performance, saying, 'It means a lot. It was a big game. It was a fun game. It was a great battle. Just a great battle. Fun to be part of.'",Non Record
India advanced to the Super Eight stage as the top team in Group A with seven points from four matches.,Non Record
Jhoan Duran closed out the game and picked up his 23rd save of the year.,Non Record
"Algeria is on a 15-match unbeaten streak in AFCON qualifiers, with 11 wins and four draws since their last defeat in October 2018.",Record
"The Sox drew three consecutive one-out walks off Yankees closer Clay Holmes in the ninth inning, bringing Alex Verdugo to the plate with the winning run on second base.",Non Record
The Guardians have covered the run line in each of their last eight Sunday day games against the Astros.,Non Record
Pakistan will face Ireland in Group A encounter on June 16 in Florida.,Non Record
Soto saved a run for Gerrit Cole in the second inning by making a strong throw home on an MJ Melendez single to cut down Salvador Perez attempting to score from second base.,Non Record
Chris Flexen had a franchise-record 23 straight winless starts.,Record
Roston Chase and Andre Russell completed the job to give West Indies a winning start.,Non Record
Teams: Boston Red Sox vs Toronto Blue Jays; Date: Wednesday 28 August 2024; Time: 9:10am AEST; Venue: Fenway Park.,Non Record
The match was significant as it marked Canada's first win in T20 World Cup history.,Record
Willy Adames tied the major league record with his 13th three-run homer of the season.,Record
Taijuan Walker felt he made progress despite the loss.,Non Record
"PNG have scored at a run rate of 5.22 this tournament, the third-lowest behind Uganda and Sri Lanka.",Record
Brewers pitchers have surrendered 163 home runs and 523 total runs (3rd in baseball).,Non Record
Oneil Cruz has recorded a Double in four of the Pirates' last five home games against opponents that held a winning record.,Record
"Ernie Clement's RBI double in the top of the 6th inning, giving the Blue Jays a 1-0 lead with 2 outs.",Non Record
Shohei Ohtani became the first player in 23 years to reach 400 total bases in a season.,Record
"Harper highlighted the strong support from the Phillies' owner, president, and GM in their pursuit of a championship.",Non Record
The Angels are trying to avoid having the most losses in franchise history in Ron Washington’s first year as manager.,Non Record
"Even with Joe Musgrove out for the NLDS, San Diego’s starting pitching will continue to be in good hands with King, Dylan Cease, Yu Darvish and Martin Perez.",Non Record
The 'Inning 1 UNDER 0.5 runs' market has hit in each of the Astros' last four night games against American League opponents.,Non Record
Sam Curran was named player of the tournament and player of the match.,Non Record
Morocco had a strong start with a 3-0 victory against Tanzania but drew 1-1 with DR Congo.,Non Record
"Hindsight gives you lots of decisions you could have changed, it was quite extreme conditions with the short side and the wind. Jofra bowled really well and looked like he hasn’t been away at all, such variety and skill, it’s great to have him back.",Non Record
"Rockies pitchers have a combined ERA of 5.43 this year, which ranks 30th in MLB.",Non Record
The Yankees are American League champions for the first time since 2009.,Record
"Sony Pictures Network has the rights to broadcast England cricket's home matches. On TV, Sony Network will broadcast the Australia's tour of England 2024. The Australia vs England 2024 series will be live streamed on SonyLIV app and website.",Non Record
Sri Lanka also defeated India with one ball to spare soon after.,Non Record
The Mets tied a record for the most walks issued by one team over any four postseason games with 31 walks in NLCS Games 1-4.,Record
"Phiri emphasizes the importance of avoiding defensive tactics, asserting that success hinges on playing an open game and maintaining composure.",Non Record
"The game was the fastest nine-inning Major League game played since Cleveland vs. Detroit finished in 1:44 on June 2, 2010.",Record
Afghanistan won the toss and elected to field first.,Non Record
Mohammad Rizwan scored the slowest fifty by a Pakistan batter in men's T20Is with a 52-ball fifty.,Record
Brandon Lowe has recorded at least one total base in 10 of his last 11 appearances in day games against teams that held a winning record.,Record
The Rangers won 3-1 in the completion of the suspended game.,Non Record
New York Yankees returned to the ALCS for the record 19th time in franchise history.,Record
Bhanuka Rajapaksa hasn’t perform well in previous matches but we believe that he had a great potential.,Non Record
"The Braves were in first place at the end of every one of their games, minus April 2.",Record
Masyn Winn has recorded at least one Single in each of the Cardinals’ last six night games against NL opponents that held a winning record.,Record
Anthony Volpe became the first player in Series history with a grand slam and a pair of stolen bases in one game.,Record
Rhett Lowder is set to pitch for the Cincinnati Reds against the Chicago Cubs and Nico Hoerner.,Non Record
Buttler credited de Kock as the game changer and praised Brook and Livingstone's partnership.,Non Record
Sri Lanka added Niroshan Dickwella and Dhananjaya de Silva to the T20I squad due to injuries to Maheesh Theekshana and Kusal Mendis.,Non Record
Diamondbacks: C José Herrera returned to the lineup after he was removed from Friday’s game when he was hit on the back of the helmet by Kyle Tucker’s follow-through on a strikeout.,Non Record
Vladimir Jovovic struck an upright from 20 yards.,Non Record
England become the first men's side to hold both the 50-over and T20 World Cups at the same time.,Record
Lahiru Kumara took 2 wickets for 31 runs for Sri Lanka.,Non Record
"The Astros will send Yusei Kikuchi (6-9, 4.38 ERA) to the mound, pitting him against Cole Ragans (10-8, 3.28 ERA) for the Royals.",Non Record
David Brooks’ strike from 30 yards was pushed wide.,Non Record
Shohei Ohtani became the first player since 2001 to tally 400 total bases as part of his three-hit night.,Record
"New York Mets finished off the rival Phillies in Game 4 of their best-of-five Division Series, winning 3-1 to wrap up a postseason series at home for the first time in 24 years.",Record
John Schneider praised Bassitt's mix of pitches and his ability to locate fastballs.,Non Record
Corey Seager hit a long homer in a three-run first inning.,Non Record
"The Astros became the second team to lose four games at home in a playoff series, the first being the 2019 Astros in the World Series against Washington.",Record
Toronto has a slugging percentage of .394 and a batting average of .240 this season.,Non Record
The Cardinals improved their record to 1-7 at Yankee Stadium in the regular season.,Non Record
"Rashid Khan scored an unbeaten 23-ball 48, but his knock went in vain",Non Record
"Louis Mafouta has been the main attacking spark for CAR, scoring five goals in his last three matches",Non Record
The Texas Rangers won their first World Series title in the history of the franchise.,Record
Canada recorded their first-ever ICC T20 World Cup win.,Record
Mark Wood brought up his 50th wicket in T20 Internationals.,Record
"The White Sox have allowed 173 home runs and surrender 5.33 runs per 9 innings, ranking 29th in MLB.",Non Record
"It is expected to be an overcast morning in North Sound, but there is no rain forecast in the area on Wednesday",Non Record
"Led by Shakib al Hasan, Bangladesh have a well-balanced squad with a good mixture of youth and experience.",Non Record
Eugenio Suarez is 10-for-41 with a home run and six RBI over the past 10 games.,Non Record
Max Muncy hit a solo home run in the ninth inning.,Non Record
India elected to bat first,Non Record
Lockie Ferguson was named Player of the Match for his exceptional bowling figures of 3 wickets for 0 runs.,Non Record
Juan Soto hit a three-run homer off Hunter Gaddis in the top of the 10th inning.,Non Record
"Chahal's 67 T20I wickets are now the most for India. He overtook Bumrah, who has 66 scalps.",Record
A 'Yankees suck' chant broke out in the ballpark.,Non Record
"Rocchio singled to center, allowing Giménez to score.",Non Record
Jos Buttler became the second player in a T20I World Cup to strike five sixes in an over.,Record
"Austria scored their sixth goal at Euro 2024, their most in any edition of the UEFA European Championship and their most in a major tournament (World Cup/Euros) since the 1978 World Cup (7).",Record
Pakistan’s team morale is low after their poor performance. The players skipped practice on Saturday.,Non Record
"Rain interrupted play, reducing the game to 17 overs per side.",Non Record
Bangladesh could not capitalize on the good start by Najmul Hossain Shanto and that total was never going to be enough for the Pakistani batting lineup,Non Record
Juan Soto has recorded at least one total base in each of his last 11 playoff appearances after playing the previous day.,Record
"Bangladesh's win over Sri Lanka was their first win against a higher-ranked side at the T20 World Cup since they beat West Indies in 2007, the inaugural T20 World Cup",Record
"Bangladesh probable playing 11: Litton Das, Soumya Sarkar, Shakib al Hasan (c), Afif Hossain, Yasir Ali, Mosaddek Hossain, Nurul Hasan (wk), Nasum Ahmed, Mustafizur Rahman, Taskin Ahmed and Shoriful Islam/Hasan Mahmud",Non Record
"Aaron Judge has been amazing this year. He is hitting .323 on the year with a .455 on-base percentage. Judge has 51 home runs this year, helping to his 124 RBIs. Further, he has scored 107 times this year.",Non Record
"The White Sox are close to breaking the record for most losses in a single season, which is 120 losses set by the New York Mets in 1962.",Record
Boston clinched the season series against the White Sox for the first time since 2019.,Record
Kyle McCann hit a two-run homer,Non Record
Austin Kitchen surrendered seven runs over two innings in his fourth MLB outing.,Non Record
"Hardik Pandya picked up two wickets in an over, changing the game.",Non Record
The Diamondbacks’ .263 batting average is second-best in MLB.,Record
Shohei Ohtani recently became the first player in major league history with 50 home runs and 50 stolen bases in a season.,Record
"Phil Salt scored the joint-most expensive over by a West Indian in a T20 World Cup, hitting Romario Shepherd for 30 runs in an over.",Record
"Just making it to the playoffs seemed improbable before Detroit went 31-13 down the stretch in the regular season, helped along by the leadership of Hinch.",Non Record
"The game was held at Coors Field in Denver, Colorado with an attendance of 20,949.",Non Record
Mark Wood reached his 50th T20I wicket.,Record
"Pakistan managed only 13 runs in their super over, resulting in a win for the USA.",Non Record
"South Africa have played 2 matches and will be looking to strengthen their hold of the top spot, while Bangladesh have played 1 match in the series and they are ranked second on the points table.",Non Record
"He was due to be back for England's T20I series but suffered the setback, which also makes him a doubt for the five one-day internationals that follow.",Non Record
The Kansas City Royals and the Atlanta Braves meet Sunday in MLB action from Truist Park.,Non Record
Sri Lanka's total of 77 is their lowest in the T20 format.,Record
The Twins have a 32-15 record in games when they hit two or more home runs.,Non Record
"Washington Sundar picked up three wickets, Avesh Khan took two wickets, and Khaleel Ahmed picked one for India.",Non Record
The Cardinals will close out the season with three games this weekend against the Giants in San Francisco. Miles Mikolas is scheduled to start the opener on Friday night.,Non Record
Will Brennan has recorded at least one Single in each of his last six home appearances against opponents that held a winning record.,Record
The Reds lost by shutout for the 14th time this season and for the second time when Skenes started.,Record
Sri Lanka won the last three T20Is against Pakistan in 2019.,Non Record
Sao Tome & Principe aimed to record their first away victory in five years,Non Record
Both teams made 2 saves each.,Non Record
Sri Lanka's top seven were trampled by Anrich Nortje.,Non Record
The ICC Men’s T20 World Cup Africa Sub-regional Qualifier B 2024 will start on October 19.,Non Record
South Africa's opening partnership of 86 runs was their fifth-highest at T20 World Cups.,Record
Colorado Rockies' Brendan Rodgers scored in the ninth inning.,Non Record
"Chris Flexen was winless in his previous 23 starts, a franchise record.",Record
The Dodgers will look to secure the best record in the NL and the number one overall seed as they head to Colorado for the final series of the regular season.,Record
Bhuvneshwar Kumar and Jasprit Bumrah utilized the moisture in the surface effectively,Non Record
Adil Rashid took 4-11 as England bowled out Oman for 47.,Non Record
Travis Head scored 31 off 14 balls.,Non Record
"Juan Soto commented on his misplays, attributing one to the wind and backspin on the ball.",Non Record
Taylor Ward extended his hitting streak to 12 games with a leadoff homer.,Record
Jos Buttler became England’s leading scorer in men’s T20Is on the night he won his 100th cap.,Record
Jackson Chourio became the youngest player to hit a leadoff homer in the postseason.,Record
The Himachal Pradesh Cricket Association Stadium was 50 percent full.,Non Record
Andries Gous scored 35 off 26 deliveries.,Non Record
The win places Netherlands at the very top of their group.,Non Record
The Guardians became the first AL team to score five runs before recording an out in a playoff game.,Record
"López's outing pushed him to a career-high 213 strikeouts for the season, the most by any Twins pitcher since Santana fanned 235 in 2007.",Record
The Phillies have won a franchise-record 30 straight games when the starter goes at least seven innings. It’s the second-longest streak in baseball history.,Record
It was the 10th winner-take-all game in franchise history and their first victory in such a game since beating the Yankees in Game 5 of the 1997 ALDS.,Record
"The BlackCaps arrived in the capital city on 14 April to play three T20Is at the Pindi Cricket Stadium in Rawalpindi on 18, 20 and 21 April. Following that, both sides will move to Lahore, where they will play the remaining two T20Is of the series on 25 and 27 April, respectively.",Non Record
Detroit has compiled 136 HRs for the year to go along with 541 runs batted in.,Non Record
Lane Thomas' grand slam was the first postseason grand slam by a Cleveland player since Francisco Lindor in Game 2 of the ALDS in 2017.,Record
England edged past New Zealand by 20 runs.,Non Record
Reece Topley trapped Brandon King lbw and ran out Shai Hope.,Non Record
"Astros: LF Yordan Alvarez (knee sprain) was scheduled to do more baseball activities in Houston, and as long as he continues to make progress, it's likely he'll be on the wild card roster.",Non Record
"The outings of Sanju Samson and Abhishek Sharma have been disappointing, and they will need to perform better to stay in the management's consideration.",Non Record
"Haris Rauf was close to reaching 100 T20I wickets, needing five more to achieve the milestone.",Record
"Sri Lanka have moved on from Angelo Mathews, while Charith Asalanka has replaced Wanindu Hasaranga at the helm",Non Record
Poland's defeat in Moldova was a national humiliation.,Non Record
Milwaukee entered Wednesday ranked fourth in runs (733) and 11th in OPS (.735),Non Record
Nico Hoerner is 14-for-37 with two RBI over the past 10 games.,Non Record
Hardik Pandya took 3 wickets for 27 runs,Non Record
The Braves are tied for most players with 35 homers in a season on one team in MLB history.,Record
Jos Buttler expressed delight with Ben Stokes' batting and praised Alex Hales for his knock.,Non Record
The Houston Astros have a team on-base percentage of .321 and a batting average of .261 over the course of the season.,Non Record
"Suryakumar Yadav became the highest run-scorer in T20I cricket in 2022, going past Mohammad Rizwan.",Record
Colin Rea (12-4) with a 3.61 ERA and a 1.15 WHIP is projected to start for the Brewers.,Non Record
"Head-to-head record: Morocco has won 4 matches, Sierra Leone has won 1 match, and there has been 1 draw in their 6 encounters.",Non Record
"India claimed their second T20 World Cup, 17 years after winning their first.",Record
"Tyler O'Neill hit another home run in the fifth inning, putting the Red Sox ahead 7-2.",Non Record
Shan Masood hits the ball for 2 runs and Pakistan win the match by 5 wickets,Non Record
"Australia's pace bowlers, inexperienced at international level, adapted swiftly to conditions to put the brakes on the home side who had raced to 1-46 after five overs after being sent in to bat.",Non Record
The Chicago White Sox remained tied with the 1962 New York Mets for the modern major league record of 120 losses in a season.,Record
"The Cubs have been operating with a sense of urgency for months, needing to win consistently to stay in playoff contention.",Non Record
Blake Perkins followed with a two-run double.,Non Record
Garcia was the first player to hit a homer in a postseason game after having already been donned with the Golden Sombrero.,Record
"The hosts and defending champions Australia are currently in a spot of bother in the ongoing T20 World Cup 2022, courtesy of a massive 89-run loss in their first match against New Zealand.",Non Record
The match was rain-curtailed and decided by the DLS method.,Non Record
"KEN is the clear favorite in betting odds, with a better recent form compared to MOZ.",Non Record
"Bryan Reynolds went 3-5 with 3 runs, a home run, 2 RBIs, a walk, and a strikeout.",Non Record
"Since their disappointment at the last Africa Cup of Nations, Morocco have played four games on home soil and won three, with the only exception being a goalless draw against Mauritania",Non Record
The weather in New York was expected to remain cloudy with a chance of rain during the match hours.,Non Record
"The match was abandoned due to heavy rain, with both teams taking a point apiece.",Non Record
Adil Rashid reflected on the team's bowling performance and the openers' batting.,Non Record
Shohei Ohtani became the first player to hit 50 home runs and steal 50 bases in a single season.,Record
Saad Bin Zafar and Junaid Siddiqui applied the squeeze in the middle overs.,Non Record
"A third straight win for India will not only make them the group toppers and send them to the semifinals, it will also substantially threaten Australia’s chances of progressing through to the semifinals following the unexpected loss to Afghanistan in Saint Vincent on Saturday night.",Non Record
Devon Conway hit the highest score in T20Is against Australia in T20Is. Virat Kohli had held the record with his 90 in Australia in 2016.,Record
Marcolini emphasized the importance of winning games and securing promotion to League C.,Non Record
"Craig Young dismissed Reeza Hendricks, and Mark Adair dismissed Ryan Rickelton, giving Ireland hope.",Non Record
"Ben Joyce struck out Edman on a 105.5 mph fastball in the ninth. It was the fastest strikeout pitch ever recorded in the pitch-tracking era, which began in 2008, and the third-fastest pitch overall in that span.",Record
Dana's mother reflected on his hard work and rapid progression to the Major Leagues.,Non Record
Emmanuel Clase earned his AL-best 39th save — with his career-high 26th straight conversion — and matched Cody Allen’s franchise record with 149.,Record
"The Astros are 1.5-run favourites against the Diamondbacks, with odds of $2.25 available at TAB.",Non Record
"Barry McCarthy was clean-bowled by Imad Wasim, leaving Ireland 86-9 after 15 overs.",Non Record
