Statements                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , Sport
Kusal Mendis' 27-ball fifty is the third fastest for Sri Lanka in T20 internationals and the sixth fastest by a Sri Lankan batsman against India in T20Is.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , cricket
Cole Ragans had thrown 543 curveballs in his major league career without giving up a home run on the pitch until Juan Soto's home run.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , baseball
Masyn Winn has recorded a Double in six of the Cardinals' last seven games against AL East opponents.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , baseball
Kerry Carpenter has recorded at least one Single in each of his last six appearances against AL Central opponents that held a losing record.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , baseball
The Dodgers achieved their first postseason game lead since Game 4 of the NLDS against the Padres.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , baseball
Rohit Sharma became the first man to five T20I hundreds.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , cricket
Masataka Yoshida has recorded at least one total base in each of his last 10 appearances with the Red Sox as underdogs.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , baseball
Kerry Carpenter has recorded a Single in eight of his last nine appearances against AL opponents that held a losing record.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , baseball
Dodgers pitchers put up consecutive shutouts in the postseason for just the third time in franchise history.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , baseball
Stanton moved into a tie with Judge and Babe Ruth for fourth in club history for postseason homers.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , baseball
England became the first men's team to hold the T20 and ODI World Cups simultaneously.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , cricket
"The White Sox snapped a historic streak by winning a game started by Chris Flexen after losing 20 consecutive games started by him, an MLB record.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ", baseball
Shubman Gill's 126 off 63 balls is the highest individual T20I score by an Indian.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , cricket
"Reds-Cubs lasted 1 hour and 48 minutes, the fastest 9-inning game since Armando Galarraga’s near-perfect game on 6/2/10 (1 hour, 44 minutes)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ", baseball
"Max Meyer recorded 18 swings and misses, second-most for him this season.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ", baseball
"Finn Allen hit 16 sixes in the third T20I against Pakistan, equaling a World Record.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ", cricket
The Yankees swept a doubleheader at Fenway Park for the first time since 2006.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , baseball
"Anrich Nortje was two wickets away from 50 in T20Is, and Tabraiz Shamsi was one away from 300 in all T20s.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ", cricket
Virat Kohli becomes the leading run scorer in the history of T20 World Cup.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , cricket
Hardik Pandya and Arshdeep Singh are fourth and fifth on the list of most T20I wickets for India                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , cricket
New Zealand have the second-lowest batting average (12.60) among Full Member nations at this T20 World Cup behind Ireland.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , cricket
Adolis Garcia became the first player in postseason history with a Golden Sombrero (four strikeouts) and a grand slam.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , baseball
Rilee Rossouw equaled David Miller's record of two centuries in T20 internationals for South Africa.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , cricket
Bo Bichette has recorded at least one total base in each of his last 11 road appearances against the Twins.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , baseball
Vinnie Pasquantino has recorded at least one hit in each of his last 13 road appearances against opponents that held a losing record.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , baseball
Bowden Francis is coming off a near-no-hitter last Saturday against the Los Angeles Angels. His bid for the second no-hitter in franchise history was spoiled when Taylor Ward led off the ninth inning with a home run.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , baseball
Memphis Depay is now just four goals off the all-time scoring record for the Netherlands with 46 goals.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , soccer
Pakistan has the second-finest Powerplay economy rate (6.19) and an average of (18.58).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , cricket
Nolan Arenado has recorded at least one Single in 10 of his last 11 appearances against AL opponents.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , baseball
Bo Bichette has recorded at least one hit in each of his last 11 road appearances against the Twins.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , baseball
Elly De La Cruz set a new record for most strikeouts in a season for the Cincinnati Reds with 206 strikeouts.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , baseball
The White Sox need to go 10-8 in their final 18 games to avoid tying the 1962 New York Mets (40-120) for the most losses in Major League Baseball’s modern era.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , baseball
Canada recorded their first-ever T20 World Cup win.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , cricket
"Virat Kohli scored an unbeaten 122 off 61 balls, marking his highest T20I score.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ", cricket
"Tyler O'Neill hit his 27th home run this season and his 11th career multihomer game, his sixth this year.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ", baseball
The Red Sox have failed to cover the run line in seven of their last eight games at Fenway Park against teams that held a winning record.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , baseball
"England's openers Jos Buttler and Alex Hales added 170 together, the highest partnership in T20 World Cups.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ", cricket
The Texas Rangers won their first championship.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , baseball
India posted the highest-ever innings score in a T20 World Cup final with 176 runs for the loss of eight wickets.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , cricket
Shohei Ohtani became the only player in Dodgers history to record 10 RBIs in a single game.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , baseball
Andrew Benintendi tied his career high with his 20th homer.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , baseball
Afif Hossain scores 1000 runs in T20 cricket                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , cricket
"The Padres finished the regular season with 93 wins, the second-most in franchise history.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ", baseball
Ireland's second-biggest T20I partnership with a 137-run stand for the first wicket                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , cricket
Australia set the highest-ever T20 international first powerplay score of 113/1 for the opening six overs.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , cricket
Haris Rauf is the highest wicket-taker for Pakistan in this fixture with 14 wickets.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , cricket
South Africa were the last team to beat India in a dead rubber in their three-match series earlier this month.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , cricket
England are the first men's team in history to hold both the 50-over and 20-over World Cups simultaneously.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , cricket
Virat Kohli hit his first international century since November 2019 with a maiden T20 ton for India.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , cricket
India's second highest margin of victory in T20Is was a 143-run win over Ireland in Dublin in 2018.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , cricket
"Algeria is on a 15-match unbeaten streak in AFCON qualifiers, with 11 wins and four draws since their last defeat in October 2018.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ", soccer
Chris Flexen had a franchise-record 23 straight winless starts.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , baseball
The match was significant as it marked Canada's first win in T20 World Cup history.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , cricket
